Index,Original,Modified
140,05/04/2020,2020-05-04
142,04/30/2020,2020-04-30
143,04/15/2020,2020-04-15
144,06/26/2020,2020-06-26
145,05/26/2020,2020-05-26
149,04/16/2020,2020-04-16
151,04/16/2020,2020-04-16
153,04/05/2020,2020-04-05
154,04/05/2020,2020-04-05
155,04/12/2020,2020-04-12
158,04/27/2020,2020-04-27
160,04/08/2020,2020-04-08
161,06/23/2020,2020-06-23
162,04/27/2020,2020-04-27
163,04/13/2020,2020-04-13
164,04/30/2020,2020-04-30
170,05/08/2020,2020-05-08
171,04/15/2020,2020-04-15
172,04/05/2020,2020-04-05
174,05/11/2020,2020-05-11
175,04/06/2020,2020-04-06
178,04/05/2020,2020-04-05
181,04/10/2020,2020-04-10
186,06/03/2020,2020-06-03
187,04/15/2020,2020-04-15
189,04/16/2020,2020-04-16
190,04/10/2020,2020-04-10
191,04/09/2020,2020-04-09
195,04/29/2020,2020-04-29
198,04/29/2020,2020-04-29
200,04/29/2020,2020-04-29
202,05/03/2020,2020-05-03
207,04/30/2020,2020-04-30
211,04/06/2020,2020-04-06
213,04/27/2020,2020-04-27
