Index,Original,Modified
887,04/06/2020,2020-04-06
890,04/27/2020,2020-04-27
891,05/03/2020,2020-05-03
893,04/28/2020,2020-04-28
894,04/05/2020,2020-04-05
895,04/15/2020,2020-04-15
896,04/10/2020,2020-04-10
900,05/27/2020,2020-05-27
901,04/29/2020,2020-04-29
903,05/01/2020,2020-05-01
905,06/26/2020,2020-06-26
906,04/14/2020,2020-04-14
907,04/15/2020,2020-04-15
910,04/16/2020,2020-04-16
911,05/12/2020,2020-05-12
912,04/07/2020,2020-04-07
914,05/04/2020,2020-05-04
915,05/07/2020,2020-05-07
917,04/27/2020,2020-04-27
919,04/10/2020,2020-04-10
921,05/08/2020,2020-05-08
926,04/15/2020,2020-04-15
927,04/29/2020,2020-04-29
929,04/30/2020,2020-04-30
930,04/30/2020,2020-04-30
932,04/13/2020,2020-04-13
933,04/28/2020,2020-04-28
935,04/27/2020,2020-04-27
938,04/29/2020,2020-04-29
939,04/10/2020,2020-04-10
940,04/28/2020,2020-04-28
942,04/29/2020,2020-04-29
943,04/09/2020,2020-04-09
944,06/03/2020,2020-06-03
945,04/04/2020,2020-04-04
946,04/13/2020,2020-04-13
947,04/14/2020,2020-04-14
950,04/29/2020,2020-04-29
955,04/10/2020,2020-04-10
956,05/20/2020,2020-05-20
957,04/29/2020,2020-04-29
958,05/18/2020,2020-05-18
959,05/01/2020,2020-05-01
961,07/17/2020,2020-07-17
962,04/08/2020,2020-04-08
965,04/05/2020,2020-04-05
966,04/29/2020,2020-04-29
967,04/08/2020,2020-04-08
968,04/13/2020,2020-04-13
977,05/09/2020,2020-05-09
978,04/10/2020,2020-04-10
979,04/13/2020,2020-04-13
980,05/03/2020,2020-05-03
981,04/14/2020,2020-04-14
984,04/07/2020,2020-04-07
987,05/19/2020,2020-05-19
989,05/23/2020,2020-05-23
990,06/18/2020,2020-06-18
991,06/02/2020,2020-06-02
993,04/05/2020,2020-04-05
998,05/08/2020,2020-05-08
1000,04/05/2020,2020-04-05
1001,05/05/2020,2020-05-05
1003,06/05/2020,2020-06-05
1006,06/27/2020,2020-06-27
1007,04/07/2020,2020-04-07
1008,04/27/2020,2020-04-27
1009,06/30/2020,2020-06-30
1010,05/01/2020,2020-05-01
1016,04/10/2020,2020-04-10
1018,05/03/2020,2020-05-03
1021,04/13/2020,2020-04-13
1022,04/06/2020,2020-04-06
1026,04/09/2020,2020-04-09
1027,04/28/2020,2020-04-28
1028,04/07/2020,2020-04-07
1030,05/03/2020,2020-05-03
1031,05/06/2020,2020-05-06
1032,05/04/2020,2020-05-04
1033,04/14/2020,2020-04-14
1035,04/30/2020,2020-04-30
1037,04/08/2020,2020-04-08
1039,04/11/2020,2020-04-11
1043,04/29/2020,2020-04-29
1044,04/09/2020,2020-04-09
1046,04/09/2020,2020-04-09
1048,04/27/2020,2020-04-27
1049,05/01/2020,2020-05-01
1051,04/28/2020,2020-04-28
1055,04/06/2020,2020-04-06
1057,05/22/2020,2020-05-22
1059,05/16/2020,2020-05-16
1060,04/07/2020,2020-04-07
1061,05/04/2020,2020-05-04
1062,04/30/2020,2020-04-30
1063,04/28/2020,2020-04-28
1067,04/15/2020,2020-04-15
1068,04/30/2020,2020-04-30
1071,04/06/2020,2020-04-06
1075,05/03/2020,2020-05-03
1078,04/28/2020,2020-04-28
1079,05/02/2020,2020-05-02
1080,04/30/2020,2020-04-30
1081,05/13/2020,2020-05-13
1083,04/28/2020,2020-04-28
1085,06/22/2020,2020-06-22
1086,05/11/2020,2020-05-11
1087,04/30/2020,2020-04-30
1089,04/05/2020,2020-04-05
1091,04/07/2020,2020-04-07
1092,05/02/2020,2020-05-02
1093,04/30/2020,2020-04-30
1095,05/08/2020,2020-05-08
1097,04/30/2020,2020-04-30
1098,04/28/2020,2020-04-28
1099,05/16/2020,2020-05-16
1101,04/12/2020,2020-04-12
1105,04/11/2020,2020-04-11
1107,04/16/2020,2020-04-16
1108,04/28/2020,2020-04-28
1109,05/04/2020,2020-05-04
1110,04/12/2020,2020-04-12
1115,05/08/2020,2020-05-08
1117,05/12/2020,2020-05-12
1118,06/02/2020,2020-06-02
1119,04/15/2020,2020-04-15
1122,04/15/2020,2020-04-15
1123,05/02/2020,2020-05-02
1124,04/29/2020,2020-04-29
1125,06/17/2020,2020-06-17
1126,04/10/2020,2020-04-10
1138,04/07/2020,2020-04-07
1139,04/14/2020,2020-04-14
1145,04/04/2020,2020-04-04
1146,04/30/2020,2020-04-30
1155,04/06/2020,2020-04-06
1159,04/15/2020,2020-04-15
1160,05/06/2020,2020-05-06
1161,04/29/2020,2020-04-29
1162,04/30/2020,2020-04-30
1163,04/05/2020,2020-04-05
1164,04/16/2020,2020-04-16
1170,04/27/2020,2020-04-27
1171,04/29/2020,2020-04-29
1174,06/10/2020,2020-06-10
1175,07/07/2020,2020-07-07
1176,05/26/2020,2020-05-26
1177,04/06/2020,2020-04-06
1178,04/27/2020,2020-04-27
1179,04/30/2020,2020-04-30
1180,04/11/2020,2020-04-11
